seq,equation_definition_id,platform_name,platform_target,platform_scope,platform_status,platform_version,source_row,formula_match,primary_classification,secondary_classification,severity,confidence,platform_expression,platform_expression_as_names,platform_expression_normalized,source_expression,source_expression_normalized,discrepancy_description
15,EQ11015,lth,VAR11018,linha_grupo/L1_L3,PUBLISHED,1,20,EXACT,MATCH,,INFO,HIGH,( VAR11003@L1 + VAR11003@L2 + VAR11003@L3 ) / 3,( lth@L1 + lth@L2 + lth@L3 ) / 3,(lth@L1+lth@L2+lth@L3)/3, ( lth@L1 + lth@L2 + lth@L3 ) / 3,(lth@L1+lth@L2+lth@L3)/3,
16,EQ11016,oee,VAR11019,linha_grupo/L1_L3,PUBLISHED,1,21,EXACT,MATCH,,INFO,HIGH,( VAR11004@L1 + VAR11004@L2 + VAR11004@L3 ) / 3,( oee@L1 + oee@L2 + oee@L3 ) / 3,(oee@L1+oee@L2+oee@L3)/3, ( oee@L1 + oee@L2 + oee@L3 ) / 3,(oee@L1+oee@L2+oee@L3)/3,
17,EQ11017,ltp_lth,VAR11020,linha_grupo/L1_L3,PUBLISHED,1,22,EXACT,MATCH,,INFO,HIGH,( VAR11005@L1 + VAR11005@L2 + VAR11005@L3 ) / 3,( ltp_lth@L1 + ltp_lth@L2 + ltp_lth@L3 ) / 3,(ltp_lth@L1+ltp_lth@L2+ltp_lth@L3)/3, ( ltp_lth@L1 + ltp_lth@L2 + ltp_lth@L3 ) / 3,(ltp_lth@L1+ltp_lth@L2+ltp_lth@L3)/3,
18,EQ11018,ltp_tc,VAR11021,linha_grupo/L1_L3,PUBLISHED,1,23,EXACT,MATCH,,INFO,HIGH,( PARAM11001@L1 + PARAM11001@L2 + PARAM11001@L3 ) / 3,( ltp_tc@L1 + ltp_tc@L2 + ltp_tc@L3 ) / 3,(ltp_tc@L1+ltp_tc@L2+ltp_tc@L3)/3, ( ltp_tc@L1 + ltp_tc@L2 + ltp_tc@L3 ) / 3,(ltp_tc@L1+ltp_tc@L2+ltp_tc@L3)/3,
19,EQ11019,ltp_a_c,VAR11022,linha_grupo/L1_L3,PUBLISHED,1,24,EXACT,MATCH,,INFO,HIGH,( VAR11006@L1 + VAR11006@L2 + VAR11006@L3 ) / 3,( ltp_a_c@L1 + ltp_a_c@L2 + ltp_a_c@L3 ) / 3,(ltp_a_c@L1+ltp_a_c@L2+ltp_a_c@L3)/3, ( ltp_a_c@L1 + ltp_a_c@L2 + ltp_a_c@L3 ) / 3,(ltp_a_c@L1+ltp_a_c@L2+ltp_a_c@L3)/3,
20,EQ11020,sl_solids,VAR11023,linha_grupo/L1_L3,PUBLISHED,1,25,EXACT,MATCH,,INFO,HIGH,( VAR11007@L1 + VAR11007@L2 + VAR11007@L3 ) / 3,( sl_solids@L1 + sl_solids@L2 + sl_solids@L3 ) / 3,(sl_solids@L1+sl_solids@L2+sl_solids@L3)/3,( sl_solids@L1 + sl_solids@L2 + sl_solids@L3 ) / 3,(sl_solids@L1+sl_solids@L2+sl_solids@L3)/3,
21,EQ11021,ssa_sf,VAR11025,linha_grupo/L1_L3,PUBLISHED,1,27,EXACT,MATCH,,INFO,HIGH,( VAR11009@L1 + VAR11009@L2 + VAR11009@L3 ) / 3,( ssa_sf@L1 + ssa_sf@L2 + ssa_sf@L3 ) / 3,(ssa_sf@L1+ssa_sf@L2+ssa_sf@L3)/3,( ssa_sf@L1 + ssa_sf@L2 + ssa_sf@L3 ) / 3,(ssa_sf@L1+ssa_sf@L2+ssa_sf@L3)/3,
22,EQ11022,ssa_sg,VAR11026,linha_grupo/L1_L3,PUBLISHED,1,28,EXACT,MATCH,,INFO,HIGH,( VAR11010@L1 + VAR11010@L2 + VAR11010@L3 ) / 3,( ssa_sg@L1 + ssa_sg@L2 + ssa_sg@L3 ) / 3,(ssa_sg@L1+ssa_sg@L2+ssa_sg@L3)/3,( ssa_sg@L1 + ssa_sg@L2 + ssa_sg@L3 ) / 3,(ssa_sg@L1+ssa_sg@L2+ssa_sg@L3)/3,
23,EQ11023,ssa_media,VAR11027,linha_grupo/L1_L3,PUBLISHED,1,29,EXACT,MATCH,,INFO,HIGH,( VAR11011@L1 + VAR11011@L2 + VAR11011@L3 ) / 3,( ssa_media@L1 + ssa_media@L2 + ssa_media@L3 ) / 3,(ssa_media@L1+ssa_media@L2+ssa_media@L3)/3,( ssa_media@L1 + ssa_media@L2 + ssa_media@L3 ) / 3,(ssa_media@L1+ssa_media@L2+ssa_media@L3)/3,
24,EQ11024,n_ppt,VAR11028,linha_grupo/L1_L3,PUBLISHED,1,30,EXACT,MATCH,,INFO,HIGH,( VAR11012@L1 + VAR11012@L2 + VAR11012@L3 ) / 3,( n_ppt@L1 + n_ppt@L2 + n_ppt@L3 ) / 3,(n_ppt@L1+n_ppt@L2+n_ppt@L3)/3, ( n_ppt@L1 + n_ppt@L2 + n_ppt@L3 ) / 3,(n_ppt@L1+n_ppt@L2+n_ppt@L3)/3,
25,EQ11025,eoc_solids,VAR11030,linha_grupo/L1_L3,PUBLISHED,1,32,EXACT,MATCH,,INFO,HIGH,( VAR11014@L1 + VAR11014@L2 + VAR11014@L3 ) / 3,( eoc_solids@L1 + eoc_solids@L2 + eoc_solids@L3 ) / 3,(eoc_solids@L1+eoc_solids@L2+eoc_solids@L3)/3, ( eoc_solids@L1 + eoc_solids@L2 + eoc_solids@L3 ) / 3,(eoc_solids@L1+eoc_solids@L2+eoc_solids@L3)/3,
26,EQ11026,producao_base_ppt,VAR11031,linha_grupo/L1_L3,PUBLISHED,1,33,EXACT,MATCH,,INFO,HIGH,VAR11015@L1 + VAR11015@L2 + VAR11015@L3,producao_base_ppt@L1 + producao_base_ppt@L2 + producao_base_ppt@L3,producao_base_ppt@L1+producao_base_ppt@L2+producao_base_ppt@L3,producao_base_ppt@L1 + producao_base_ppt@L2 + producao_base_ppt@L3,producao_base_ppt@L1+producao_base_ppt@L2+producao_base_ppt@L3,
27,EQ11027,yield,VAR11032,linha_grupo/L4_L5,PUBLISHED,1,34,EXACT,MATCH,,INFO,HIGH,( VAR11001@L4*VAR11002@L4 + VAR11001@L5*VAR11002@L5 ) / ( VAR11002@L4 + VAR11002@L5 ),( yield@L4*ltp@L4 + yield@L5*ltp@L5 ) / ( ltp@L4 + ltp@L5 ),(yield@L4*ltp@L4+yield@L5*ltp@L5)/(ltp@L4+ltp@L5),( yield@L4 * ltp@L4 + yield@L5 * ltp@L5 ) / ( ltp@L4 + ltp@L5 ),(yield@L4*ltp@L4+yield@L5*ltp@L5)/(ltp@L4+ltp@L5),
28,EQ11028,ratio_spent,VAR11040,linha_grupo/L4_L5,PUBLISHED,1,42,EXACT,MATCH,,INFO,HIGH,( VAR11008@L4*VAR11002@L4 + VAR11008@L5*VAR11002@L5 ) / ( VAR11002@L4 + VAR11002@L5 ),( ratio_spent@L4*ltp@L4 + ratio_spent@L5*ltp@L5 ) / ( ltp@L4 + ltp@L5 ),(ratio_spent@L4*ltp@L4+ratio_spent@L5*ltp@L5)/(ltp@L4+ltp@L5),( ratio_spent@L4*ltp@L4 + ratio_spent@L5*ltp@L5 ) / ( ltp@L4 + ltp@L5 ),(ratio_spent@L4*ltp@L4+ratio_spent@L5*ltp@L5)/(ltp@L4+ltp@L5),
29,EQ11029,eoc_temp,VAR11045,linha_grupo/L4_L5,PUBLISHED,1,47,EXACT,MATCH,,INFO,HIGH,( VAR11013@L4*VAR11002@L4 + VAR11013@L5*VAR11002@L5 ) / ( VAR11002@L4 + VAR11002@L5 ),( eoc_temp@L4*ltp@L4 + eoc_temp@L5*ltp@L5 ) / ( ltp@L4 + ltp@L5 ),(eoc_temp@L4*ltp@L4+eoc_temp@L5*ltp@L5)/(ltp@L4+ltp@L5),( eoc_temp@L4*ltp@L4 + eoc_temp@L5*ltp@L5 ) / ( ltp@L4 + ltp@L5 ),(eoc_temp@L4*ltp@L4+eoc_temp@L5*ltp@L5)/(ltp@L4+ltp@L5),
30,EQ11030,ltp,VAR11033,linha_grupo/L4_L5,PUBLISHED,1,35,EXACT,MATCH,,INFO,HIGH,( VAR11002@L4 + VAR11002@L5 ) / 2,( ltp@L4 + ltp@L5 ) / 2,(ltp@L4+ltp@L5)/2,( ltp@L4 + ltp@L5 ) / 2,(ltp@L4+ltp@L5)/2,
31,EQ11031,lth,VAR11034,linha_grupo/L4_L5,PUBLISHED,1,36,EXACT,MATCH,,INFO,HIGH,( VAR11003@L4 + VAR11003@L5 ) / 2,( lth@L4 + lth@L5 ) / 2,(lth@L4+lth@L5)/2,( lth@L4 + lth@L5 ) / 2,(lth@L4+lth@L5)/2,
32,EQ11032,oee,VAR11035,linha_grupo/L4_L5,PUBLISHED,1,37,EXACT,MATCH,,INFO,HIGH,( VAR11004@L4 + VAR11004@L5 ) / 2,( oee@L4 + oee@L5 ) / 2,(oee@L4+oee@L5)/2,( oee@L4 + oee@L5 ) / 2,(oee@L4+oee@L5)/2,
33,EQ11033,ltp_lth,VAR11036,linha_grupo/L4_L5,PUBLISHED,1,38,EXACT,MATCH,,INFO,HIGH,( VAR11005@L4 + VAR11005@L5 ) / 2,( ltp_lth@L4 + ltp_lth@L5 ) / 2,(ltp_lth@L4+ltp_lth@L5)/2,( ltp_lth@L4 + ltp_lth@L5 ) / 2,(ltp_lth@L4+ltp_lth@L5)/2,
34,EQ11034,ltp_tc,VAR11037,linha_grupo/L4_L5,PUBLISHED,1,39,EXACT,MATCH,,INFO,HIGH,( PARAM11001@L4 + PARAM11001@L5 ) / 2,( ltp_tc@L4 + ltp_tc@L5 ) / 2,(ltp_tc@L4+ltp_tc@L5)/2,( ltp_tc@L4 + ltp_tc@L5 ) / 2,(ltp_tc@L4+ltp_tc@L5)/2,
35,EQ11035,ltp_a_c,VAR11038,linha_grupo/L4_L5,PUBLISHED,1,40,EXACT,MATCH,,INFO,HIGH,( VAR11006@L4 + VAR11006@L5 ) / 2,( ltp_a_c@L4 + ltp_a_c@L5 ) / 2,(ltp_a_c@L4+ltp_a_c@L5)/2,( ltp_a_c@L4 + ltp_a_c@L5 ) / 2,(ltp_a_c@L4+ltp_a_c@L5)/2,
36,EQ11036,sl_solids,VAR11039,linha_grupo/L4_L5,PUBLISHED,1,41,EXACT,MATCH,,INFO,HIGH,( VAR11007@L4 + VAR11007@L5 ) / 2,( sl_solids@L4 + sl_solids@L5 ) / 2,(sl_solids@L4+sl_solids@L5)/2,( sl_solids@L4 + sl_solids@L5 ) / 2,(sl_solids@L4+sl_solids@L5)/2,
37,EQ11037,ssa_sf,VAR11041,linha_grupo/L4_L5,PUBLISHED,1,43,EXACT,MATCH,,INFO,HIGH,( VAR11009@L4 + VAR11009@L5 ) / 2,( ssa_sf@L4 + ssa_sf@L5 ) / 2,(ssa_sf@L4+ssa_sf@L5)/2,( ssa_sf@L4 + ssa_sf@L5 ) / 2,(ssa_sf@L4+ssa_sf@L5)/2,
38,EQ11038,ssa_sg,VAR11042,linha_grupo/L4_L5,PUBLISHED,1,44,EXACT,MATCH,,INFO,HIGH,( VAR11010@L4 + VAR11010@L5 ) / 2,( ssa_sg@L4 + ssa_sg@L5 ) / 2,(ssa_sg@L4+ssa_sg@L5)/2,( ssa_sg@L4 + ssa_sg@L5 ) / 2,(ssa_sg@L4+ssa_sg@L5)/2,
39,EQ11039,ssa_media,VAR11043,linha_grupo/L4_L5,PUBLISHED,1,45,EXACT,MATCH,,INFO,HIGH,( VAR11011@L4 + VAR11011@L5 ) / 2,( ssa_media@L4 + ssa_media@L5 ) / 2,(ssa_media@L4+ssa_media@L5)/2,( ssa_media@L4 + ssa_media@L5 ) / 2,(ssa_media@L4+ssa_media@L5)/2,
40,EQ11040,n_ppt,VAR11044,linha_grupo/L4_L5,PUBLISHED,1,46,EXACT,MATCH,,INFO,HIGH,( VAR11012@L4 + VAR11012@L5 ) / 2,( n_ppt@L4 + n_ppt@L5 ) / 2,(n_ppt@L4+n_ppt@L5)/2,( n_ppt@L4 + n_ppt@L5 ) / 2,(n_ppt@L4+n_ppt@L5)/2,
41,EQ11041,eoc_solids,VAR11046,linha_grupo/L4_L5,PUBLISHED,1,48,EXACT,MATCH,,INFO,HIGH,( VAR11014@L4 + VAR11014@L5 ) / 2,( eoc_solids@L4 + eoc_solids@L5 ) / 2,(eoc_solids@L4+eoc_solids@L5)/2,( eoc_solids@L4 + eoc_solids@L5 ) / 2,(eoc_solids@L4+eoc_solids@L5)/2,
42,EQ11042,producao_base_ppt,VAR11047,linha_grupo/L4_L5,PUBLISHED,1,49,EXACT,MATCH,,INFO,HIGH,VAR11015@L4 + VAR11015@L5,producao_base_ppt@L4 + producao_base_ppt@L5,producao_base_ppt@L4+producao_base_ppt@L5,producao_base_ppt@L4 + producao_base_ppt@L5,producao_base_ppt@L4+producao_base_ppt@L5,
43,EQ11043,yield,VAR11048,linha_grupo/L6_L7,PUBLISHED,1,50,EXACT,MATCH,,INFO,HIGH,( VAR11001@L6*VAR11002@L6 + VAR11001@L7*VAR11002@L7 ) / ( VAR11002@L6 + VAR11002@L7 ),( yield@L6*ltp@L6 + yield@L7*ltp@L7 ) / ( ltp@L6 + ltp@L7 ),(yield@L6*ltp@L6+yield@L7*ltp@L7)/(ltp@L6+ltp@L7),( yield@L6 * ltp@L6 + yield@L7 * ltp@L7 ) / ( ltp@L6 + ltp@L7 ),(yield@L6*ltp@L6+yield@L7*ltp@L7)/(ltp@L6+ltp@L7),
44,EQ11044,ratio_spent,VAR11056,linha_grupo/L6_L7,PUBLISHED,1,58,EXACT,MATCH,,INFO,HIGH,( VAR11008@L6*VAR11002@L6 + VAR11008@L7*VAR11002@L7 ) / ( VAR11002@L6 + VAR11002@L7 ),( ratio_spent@L6*ltp@L6 + ratio_spent@L7*ltp@L7 ) / ( ltp@L6 + ltp@L7 ),(ratio_spent@L6*ltp@L6+ratio_spent@L7*ltp@L7)/(ltp@L6+ltp@L7),( ratio_spent@L6*ltp@L6 + ratio_spent@L7*ltp@L7 ) / ( ltp@L6 + ltp@L7 ),(ratio_spent@L6*ltp@L6+ratio_spent@L7*ltp@L7)/(ltp@L6+ltp@L7),
45,EQ11045,eoc_temp,VAR11061,linha_grupo/L6_L7,PUBLISHED,1,63,EXACT,MATCH,,INFO,HIGH,( VAR11013@L6*VAR11002@L6 + VAR11013@L7*VAR11002@L7 ) / ( VAR11002@L6 + VAR11002@L7 ),( eoc_temp@L6*ltp@L6 + eoc_temp@L7*ltp@L7 ) / ( ltp@L6 + ltp@L7 ),(eoc_temp@L6*ltp@L6+eoc_temp@L7*ltp@L7)/(ltp@L6+ltp@L7),( eoc_temp@L6*ltp@L6 + eoc_temp@L7*ltp@L7 ) / ( ltp@L6 + ltp@L7 ),(eoc_temp@L6*ltp@L6+eoc_temp@L7*ltp@L7)/(ltp@L6+ltp@L7),
46,EQ11046,ltp,VAR11049,linha_grupo/L6_L7,PUBLISHED,1,51,EXACT,MATCH,,INFO,HIGH,( VAR11002@L6 + VAR11002@L7 ) / 2,( ltp@L6 + ltp@L7 ) / 2,(ltp@L6+ltp@L7)/2,( ltp@L6 + ltp@L7 ) / 2,(ltp@L6+ltp@L7)/2,
47,EQ11047,lth,VAR11050,linha_grupo/L6_L7,PUBLISHED,1,52,EXACT,MATCH,,INFO,HIGH,( VAR11003@L6 + VAR11003@L7 ) / 2,( lth@L6 + lth@L7 ) / 2,(lth@L6+lth@L7)/2,( lth@L6 + lth@L7 ) / 2,(lth@L6+lth@L7)/2,
48,EQ11048,oee,VAR11051,linha_grupo/L6_L7,PUBLISHED,1,53,EXACT,MATCH,,INFO,HIGH,( VAR11004@L6 + VAR11004@L7 ) / 2,( oee@L6 + oee@L7 ) / 2,(oee@L6+oee@L7)/2,( oee@L6 + oee@L7 ) / 2,(oee@L6+oee@L7)/2,
49,EQ11049,ltp_lth,VAR11052,linha_grupo/L6_L7,PUBLISHED,1,54,EXACT,MATCH,,INFO,HIGH,( VAR11005@L6 + VAR11005@L7 ) / 2,( ltp_lth@L6 + ltp_lth@L7 ) / 2,(ltp_lth@L6+ltp_lth@L7)/2,( ltp_lth@L6 + ltp_lth@L7 ) / 2,(ltp_lth@L6+ltp_lth@L7)/2,
50,EQ11050,ltp_tc,VAR11053,linha_grupo/L6_L7,PUBLISHED,1,55,EXACT,MATCH,,INFO,HIGH,( PARAM11001@L6 + PARAM11001@L7 ) / 2,( ltp_tc@L6 + ltp_tc@L7 ) / 2,(ltp_tc@L6+ltp_tc@L7)/2,( ltp_tc@L6 + ltp_tc@L7 ) / 2,(ltp_tc@L6+ltp_tc@L7)/2,
51,EQ11051,ltp_a_c,VAR11054,linha_grupo/L6_L7,PUBLISHED,1,56,EXACT,MATCH,,INFO,HIGH,( VAR11006@L6 + VAR11006@L7 ) / 2,( ltp_a_c@L6 + ltp_a_c@L7 ) / 2,(ltp_a_c@L6+ltp_a_c@L7)/2,( ltp_a_c@L6 + ltp_a_c@L7 ) / 2,(ltp_a_c@L6+ltp_a_c@L7)/2,
52,EQ11052,sl_solids,VAR11055,linha_grupo/L6_L7,PUBLISHED,1,57,EXACT,MATCH,,INFO,HIGH,( VAR11007@L6 + VAR11007@L7 ) / 2,( sl_solids@L6 + sl_solids@L7 ) / 2,(sl_solids@L6+sl_solids@L7)/2,( sl_solids@L6 + sl_solids@L7 ) / 2,(sl_solids@L6+sl_solids@L7)/2,
53,EQ11053,ssa_sf,VAR11057,linha_grupo/L6_L7,PUBLISHED,1,59,EXACT,MATCH,,INFO,HIGH,( VAR11009@L6 + VAR11009@L7 ) / 2,( ssa_sf@L6 + ssa_sf@L7 ) / 2,(ssa_sf@L6+ssa_sf@L7)/2,( ssa_sf@L6 + ssa_sf@L7 ) / 2,(ssa_sf@L6+ssa_sf@L7)/2,
54,EQ11054,ssa_sg,VAR11058,linha_grupo/L6_L7,PUBLISHED,1,60,EXACT,MATCH,,INFO,HIGH,( VAR11010@L6 + VAR11010@L7 ) / 2,( ssa_sg@L6 + ssa_sg@L7 ) / 2,(ssa_sg@L6+ssa_sg@L7)/2,( ssa_sg@L6 + ssa_sg@L7 ) / 2,(ssa_sg@L6+ssa_sg@L7)/2,
55,EQ11055,ssa_media,VAR11059,linha_grupo/L6_L7,PUBLISHED,1,61,EXACT,MATCH,,INFO,HIGH,( VAR11011@L6 + VAR11011@L7 ) / 2,( ssa_media@L6 + ssa_media@L7 ) / 2,(ssa_media@L6+ssa_media@L7)/2,( ssa_media@L6 + ssa_media@L7 ) / 2,(ssa_media@L6+ssa_media@L7)/2,
